vector_size,window,min_count,epochs,hs,negative,sample,self_similarity,second_similarity
100,2,5,100,1,0,0,0.713,0.825
10,2,5,10,1,0,0,0.036,0.055
10,2,5,20,1,0,0,0.071,0.124
10,2,5,30,1,0,0,0.132,0.199
10,2,5,50,1,0,0,0.213,0.307
10,2,5,100,1,0,0,0.267,0.367
20,2,5,10,1,0,0,0.542,0.676
20,2,5,15,1,0,0,0.652,0.793
20,2,5,30,1,0,0,0.698,0.825
20,2,5,50,1,0,0,0.691,0.812
20,2,5,80,1,0,0,0.702,0.801
30,2,5,15,1,0,0,0.767,0.88
30,2,5,30,1,0,0,0.772,0.877
30,2,5,50,1,0,0,0.748,0.864
40,2,5,15,1,0,0,0.767,0.883
40,2,5,30,1,0,0,0.77,0.877
40,2,5,50,1,0,0,0.755,0.86
40,2,5,80,1,0,0,0.721,0.846
50,2,5,15,1,0,0,0.774,0.885
50,2,5,30,1,0,0,0.765,0.871
50,2,5,50,1,0,0,0.746,0.856
60,2,5,15,1,0,0,0.773,0.892
60,2,5,30,1,0,0,0.759,0.866
60,2,5,50,1,0,0,0.75,0.856
60,2,5,80,1,0,0,0.707,0.823
30,2,5,10,1,0,0,0.751,0.875
30,2,5,18,1,0,0,0.782,0.886
30,2,5,20,1,0,0,0.773,0.885
30,2,5,25,1,0,0,0.766,0.88
50,2,5,10,1,0,0,0.795,0.896
50,2,5,18,1,0,0,0.771,0.874
50,2,5,20,1,0,0,0.773,0.882
50,2,5,25,1,0,0,0.764,0.871
70,2,5,10,1,0,0,0.796,0.899
70,2,5,18,1,0,0,0.768,0.878
70,2,5,20,1,0,0,0.771,0.882
70,2,5,25,1,0,0,0.774,0.881
80,2,5,10,1,0,0,0.801,0.896
80,2,5,18,1,0,0,0.786,0.883
80,2,5,20,1,0,0,0.771,0.884
80,2,5,25,1,0,0,0.755,0.866
25,2,5,10,1,0,0,0.701,0.82
25,2,5,18,1,0,0,0.743,0.868
25,2,5,20,1,0,0,0.744,0.867
25,2,5,25,1,0,0,0.732,0.859
25,2,5,100,1,0,0,0.717,0.828
35,2,5,10,1,0,0,0.775,0.881
35,2,5,18,1,0,0,0.769,0.887
35,2,5,20,1,0,0,0.771,0.875
35,2,5,25,1,0,0,0.768,0.885
35,2,5,100,1,0,0,0.723,0.841
40,2,5,10,1,0,0,0.775,0.891
40,2,5,18,1,0,0,0.77,0.881
40,2,5,20,1,0,0,0.764,0.883
40,2,5,25,1,0,0,0.757,0.877
40,2,5,100,1,0,0,0.703,0.825
45,2,5,10,1,0,0,0.787,0.891
45,2,5,18,1,0,0,0.782,0.884
45,2,5,20,1,0,0,0.761,0.877
45,2,5,25,1,0,0,0.765,0.877
45,2,5,100,1,0,0,0.705,0.821
55,2,5,10,1,0,0,0.808,0.902
55,2,5,12,1,0,0,0.781,0.888
55,2,5,15,1,0,0,0.79,0.888
55,2,5,18,1,0,0,0.771,0.882
55,2,5,20,1,0,0,0.765,0.873
55,2,5,25,1,0,0,0.771,0.879
55,2,5,30,1,0,0,0.762,0.866
65,2,5,10,1,0,0,0.802,0.895
65,2,5,12,1,0,0,0.773,0.882
65,2,5,15,1,0,0,0.781,0.882
65,2,5,18,1,0,0,0.771,0.879
65,2,5,20,1,0,0,0.791,0.889
65,2,5,25,1,0,0,0.773,0.882
65,2,5,30,1,0,0,0.769,0.874
75,2,5,10,1,0,0,0.787,0.904
75,2,5,12,1,0,0,0.787,0.892
75,2,5,15,1,0,0,0.77,0.885
75,2,5,18,1,0,0,0.761,0.872
75,2,5,20,1,0,0,0.779,0.884
75,2,5,25,1,0,0,0.756,0.873
75,2,5,30,1,0,0,0.763,0.864
85,2,5,10,1,0,0,0.794,0.896
85,2,5,12,1,0,0,0.778,0.885
85,2,5,15,1,0,0,0.781,0.881
85,2,5,18,1,0,0,0.774,0.881
85,2,5,20,1,0,0,0.778,0.887
85,2,5,25,1,0,0,0.753,0.864
85,2,5,30,1,0,0,0.772,0.873
45,2,5,8,1,0,0.1,0.784,0.885
45,2,5,9,1,0,0.1,0.786,0.899
45,2,5,10,1,0,0.1,0.788,0.89
45,2,5,11,1,0,0.1,0.775,0.891
45,2,5,12,1,0,0.1,0.776,0.891
50,2,5,8,1,0,0.1,0.779,0.885
50,2,5,9,1,0,0.1,0.793,0.905
50,2,5,10,1,0,0.1,0.803,0.903
50,2,5,11,1,0,0.1,0.785,0.896
50,2,5,12,1,0,0.1,0.783,0.896
55,2,5,8,1,0,0.1,0.801,0.903
55,2,5,9,1,0,0.1,0.796,0.901
55,2,5,10,1,0,0.1,0.79,0.895
55,2,5,11,1,0,0.1,0.799,0.897
55,2,5,12,1,0,0.1,0.801,0.901
55,2,5,8,1,0,0,0.792,0.905
55,2,5,9,1,0,0,0.797,0.901
55,2,5,10,1,0,0,0.793,0.894
55,2,5,11,1,0,0,0.789,0.895
55,2,5,12,1,0,0,0.787,0.891
60,2,5,8,1,0,0,0.788,0.9
60,2,5,9,1,0,0,0.791,0.904
60,2,5,10,1,0,0,0.788,0.902
60,2,5,11,1,0,0,0.789,0.894
60,2,5,12,1,0,0,0.789,0.894
65,2,5,8,1,0,0,0.79,0.901
65,2,5,9,1,0,0,0.802,0.897
65,2,5,10,1,0,0,0.807,0.897
65,2,5,11,1,0,0,0.795,0.896
65,2,5,12,1,0,0,0.788,0.889
50,2,5,8,1,0,0,0.795,0.902
50,2,5,9,1,0,0,0.788,0.899
50,2,5,10,1,0,0,0.796,0.9
100,2,5,10,1,0,0,0.77,0.868
150,2,5,10,1,0,0,0.768,0.87
200,2,5,10,1,0,0,0.769,0.869
300,2,5,10,1,0,0,0.764,0.866
x,x,x,x,x,x,x,x,x dm=0
50,2,5,10,1,0,0,0.79,0.89
x,x,x,x,x,x,x,x,x dm=0 dbow_words=1
51,2,5,10,1,0,0,0.752,0.868
30,2,5,10,1,0,0,0.751,0.864
15,2,5,10,1,0,0,0.735,0.84
